2026-08-31 20:55:54,730 INFO pyjab init jab
2026-08-31 20:55:54,753 INFO pyjab init jab success
18 | push button      | ... | ... | 103,484,24,24 | action=True
18 | push button      | ... | ... | 103,508,24,24 | action=True
18 | push button      | ... | ... | 103,532,24,24 | action=True
18 | push button      | ... | ... | 103,556,24,24 | action=True
18 | push button      | ... | ... | 103,580,24,24 | action=True
18 | text             | Apellido y Nombre | Apellido y Nombre | 130,244,246,24 | action=False
18 | text             | Apellido y Nombre | Apellido y Nombre | 130,268,246,24 | action=False
18 | text             | Apellido y Nombre | Apellido y Nombre | 130,292,246,24 | action=False
18 | text             | Apellido y Nombre | Apellido y Nombre | 130,316,246,24 | action=False
18 | text             | Apellido y Nombre | Apellido y Nombre | 130,340,246,24 | action=False
